AC,LABEL_INT_EN
E.1.Pu,"Enrolment in ISCED 1, Public, initial education"
E.2.GPV.Pu,"Enrolment in ISCED 2, General&Pre-Voc, Public, initial education"
E.3.GPV.Pu,"Enrolment in ISCED 3, General&Pre-Voc, Public, initial education"
E.1.Pr,"Enrolment in ISCED 1, Private, initial education"
E.2.GPV.Pr,"Enrolment in ISCED 2, General&Pre-Voc, Private, initial education"
E.3.GPV.Pr,"Enrolment in ISCED 3, General&Pre-Voc, Private, initial education"
E.1,"Enrolment in ISCED 1, initial education, Priority 2"
E.2.GPV,"Enrolment in ISCED 2, General&Pre-Voc, initial education"
E.3.GPV,"Enrolment in ISCED 3, General&Pre-Voc, initial education"
T.2.GPV.Pu,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education"
T.3.GPV.Pu,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education"
T.23.GPV.Pu,"Education staff 2 and 3, General&Pre-Voc, Public, initial education"
T.2.GPV.Pu.F,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Female"
T.3.GPV.Pu.F,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Female"
T.23.GPV.Pu.F,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Female"
T.2.GPV.Pr,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education"
T.3.GPV.Pr,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education"
T.23.GPV.Pr,"Education staff 2 and 3, General&Pre-Voc, Private, initial education"
T.2.GPV.Pr.F,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Female"
T.3.GPV.Pr.F,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Female"
T.23.GPV.Pr.F,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Female"
T.2.GPV,"Education staff in ISCED 2, General&Pre-Voc, initial education"
T.3.GPV,"Education staff in ISCED 3, General&Pre-Voc, initial education"
T.23.GPV,"Education staff 2 and 3, General&Pre-Voc, initial education"
T.2.GPV.F,"Education staff in ISCED 2, General&Pre-Voc, initial education, Female"
T.3.GPV.F,"Education staff in ISCED 3, General&Pre-Voc, initial education, Female"
T.23.GPV.F,"Education staff 2 and 3, General&Pre-Voc, initial education, Female"
T.2.GPV.Pu.trained,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Trained teacher"
