EMC_ID,AC,LABEL_INT_EN,LABEL_INT_FR,LABEL_EXT_EN,LABEL_EXT_FR
10,thAge.ec,NULL,NULL,NULL,NULL
13,thDur.ec,NULL,NULL,NULL,NULL
25,thAge.2.B.GPV,NULL,NULL,NULL,NULL
29,thAge.2.B.V,NULL,NULL,NULL,NULL
33,thAge.2.C.GPV,NULL,NULL,NULL,NULL
37,thAge.2.C.V,NULL,NULL,NULL,NULL
42,thDur.2.B.GPV,NULL,NULL,NULL,NULL
46,thDur.2.B.V,NULL,NULL,NULL,NULL
50,thDur.2.C.GPV,NULL,NULL,NULL,NULL
54,thDur.2.C.V,NULL,NULL,NULL,NULL
61,thAge.3.B.GPV,NULL,NULL,NULL,NULL
65,thAge.3.B.V,NULL,NULL,NULL,NULL
69,thAge.3.C.GPV,NULL,NULL,NULL,NULL
73,thAge.3.C.V,NULL,NULL,NULL,NULL
78,thDur.3.B.GPV,NULL,NULL,NULL,NULL
82,thDur.3.B.V,NULL,NULL,NULL,NULL
86,thDur.3.C.GPV,NULL,NULL,NULL,NULL
90,thDur.3.C.V,NULL,NULL,NULL,NULL
97,thAge.4.B.GPV,NULL,NULL,NULL,NULL
101,thAge.4.B.V,NULL,NULL,NULL,NULL
106,thDur.4.B.GPV,NULL,NULL,NULL,NULL
110,thDur.4.B.V,NULL,NULL,NULL,NULL
400,CEDur.1,"Duration in Compulsory education, initial education",NULL,NULL,NULL
401,CEAge.1,"Starting age in Compulsory education, initial education",NULL,NULL,NULL
402,CEAgeE.1,"Ending age (beginning of year) in Compulsory education, initial education",NULL,NULL,NULL
403,AY.SM,NULL,NULL,NULL,NULL
404,AY.EM,NULL,NULL,NULL,NULL
405,AY.SY,NULL,NULL,NULL,NULL
406,AY.EY,NULL,NULL,NULL,NULL
407,AYG.SM,NULL,NULL,NULL,NULL
408,AYG.SY,NULL,NULL,NULL,NULL
1000,thAge.5.A.first,NULL,NULL,NULL,NULL
1006,thAge.5.A.second,NULL,NULL,NULL,NULL
1011,thAge.5.A.third,NULL,NULL,NULL,NULL
1015,thAge.5.B.first,NULL,NULL,NULL,NULL
1020,thAge.5.B.further,NULL,NULL,NULL,NULL
1024,thAge.6.first,NULL,NULL,NULL,NULL
1027,thAge.6.further,NULL,NULL,NULL,NULL
1030,thDur.5.A.first,NULL,NULL,NULL,NULL
1036,thDur.5.A.second,NULL,NULL,NULL,NULL
1041,thDur.5.A.third,NULL,NULL,NULL,NULL
1045,thDur.5.B.first,NULL,NULL,NULL,NULL
1050,thDur.5.B.further,NULL,NULL,NULL,NULL
1054,thDur.6.first,NULL,NULL,NULL,NULL
1057,thDur.6.further,NULL,NULL,NULL,NULL
10403,AY.QC.SM,NULL,NULL,NULL,NULL
10404,AY.QC.EM,NULL,NULL,NULL,NULL
10405,AY.QC.SY,NULL,NULL,NULL,NULL
10406,AY.QC.EY,NULL,NULL,NULL,NULL
10407,AYG.QC.SM,NULL,NULL,NULL,NULL
10408,AYG.QC.SY,NULL,NULL,NULL,NULL
20000,E.0.Pu,"Enrolment in ISCED 0, Public, initial education, Priority 2",NULL,NULL,NULL
20001,E.0.Pu.F,"Enrolment in ISCED 0, Public, initial education, Female, Priority 2",NULL,NULL,NULL
20002,E.1.Pu,"Enrolment in ISCED 1, Public, initial education",NULL,NULL,NULL
20003,E.1.Pu.F,"Enrolment in ISCED 1, Public, initial education, Female",NULL,NULL,NULL
20004,E.2.Pu,"Enrolment in ISCED 2, Public, initial education",NULL,NULL,NULL
20005,E.2.Pu.F,"Enrolment in ISCED 2, Public, initial education, Female",NULL,NULL,NULL
20006,E.2.GPV.Pu,"Enrolment in ISCED 2, General&Pre-Voc, Public, initial education",NULL,NULL,NULL
20007,E.2.GPV.Pu.F,"Enrolment in ISCED 2, General&Pre-Voc, Public, initial education, Female",NULL,NULL,NULL
20008,E.2.V.Pu,"Enrolment in ISCED 2, Vocational, Public, initial education",NULL,NULL,NULL
20009,E.2.V.Pu.F,"Enrolment in ISCED 2, Vocational, Public, initial education, Female",NULL,NULL,NULL
20010,E.3.Pu,"Enrolment in ISCED 3, Public, initial education",NULL,NULL,NULL
20011,E.3.Pu.F,"Enrolment in ISCED 3, Public, initial education, Female",NULL,NULL,NULL
20012,E.3.GPV.Pu,"Enrolment in ISCED 3, General&Pre-Voc, Public, initial education",NULL,NULL,NULL
20013,E.3.GPV.Pu.F,"Enrolment in ISCED 3, General&Pre-Voc, Public, initial education, Female",NULL,NULL,NULL
20014,E.3.V.Pu,"Enrolment in ISCED 3, Vocational, Public, initial education",NULL,NULL,NULL
20015,E.3.V.Pu.F,"Enrolment in ISCED 3, Vocational, Public, initial education, Female",NULL,NULL,NULL
20016,E.4.Pu,"Enrolment in ISCED 4, Public, initial education",NULL,NULL,NULL
20017,E.4.Pu.F,"Enrolment in ISCED 4, Public, initial education, Female",NULL,NULL,NULL
20018,E.4.GPV.Pu,"Enrolment in ISCED 4, General&Pre-Voc, Public, initial education",NULL,NULL,NULL
20019,E.4.GPV.Pu.F,"Enrolment in ISCED 4, General&Pre-Voc, Public, initial education, Female",NULL,NULL,NULL
20020,E.4.V.Pu,"Enrolment in ISCED 4, Vocational, Public, initial education",NULL,NULL,NULL
20021,E.4.V.Pu.F,"Enrolment in ISCED 4, Vocational, Public, initial education, Female",NULL,NULL,NULL
