Tab,RM_TABLE,RM_TABLE_NAME,Col,AC,EXL_REF,CUR_YAER
Administrative divisions,Table i,List of first administrative level divisions,2,ADM_NAME,I21,0
Administrative divisions,Table i,List of first administrative level divisions,3,Pop.Ag0t99,J21,0
Pupils,Table 0.1," Pupils by ADM1,  by level of education, primary and secondary general programmes, by type of institution",2,ADM_NAME,I18,0
Pupils,Table 0.1," Pupils by ADM1,  by level of education, primary and secondary general programmes, by type of institution",3,E.1,J18,0
Pupils,Table 0.1," Pupils by ADM1,  by level of education, primary and secondary general programmes, by type of institution",4,E.1.Pu,K18,0
Pupils,Table 0.1," Pupils by ADM1,  by level of education, primary and secondary general programmes, by type of institution",5,E.1.Pr,L18,0
Pupils,Table 0.1," Pupils by ADM1,  by level of education, primary and secondary general programmes, by type of institution",6,E.2.GPV,M18,0
Pupils,Table 0.1," Pupils by ADM1,  by level of education, primary and secondary general programmes, by type of institution",7,E.2.GPV.Pu,N18,0
Pupils,Table 0.1," Pupils by ADM1,  by level of education, primary and secondary general programmes, by type of institution",8,E.2.GPV.Pr,O18,0
Pupils,Table 0.1," Pupils by ADM1,  by level of education, primary and secondary general programmes, by type of institution",9,E.3.GPV,P18,0
Pupils,Table 0.1," Pupils by ADM1,  by level of education, primary and secondary general programmes, by type of institution",10,E.3.GPV.Pu,Q18,0
Pupils,Table 0.1," Pupils by ADM1,  by level of education, primary and secondary general programmes, by type of institution",11,E.3.GPV.Pr,R18,0
Pupils,Table 0.1," Pupils by ADM1,  by level of education, primary and secondary general programmes, by type of institution",12,E.1.Glast,S18,0
Pupils,Table 0.1," Pupils by ADM1,  by level of education, primary and secondary general programmes, by type of institution",13,E.1.Glast.F,T18,0
Pupils,Table 0.1," Pupils by ADM1,  by level of education, primary and secondary general programmes, by type of institution",14,E.2.GPV.G1,U18,0
Pupils,Table 0.1," Pupils by ADM1,  by level of education, primary and secondary general programmes, by type of institution",15,R.2.GPV.G1,V18,0
Pupils,Table 0.1," Pupils by ADM1,  by level of education, primary and secondary general programmes, by type of institution",16,E.2.GPV.G1.F,W18,0
Pupils,Table 0.1," Pupils by ADM1,  by level of education, primary and secondary general programmes, by type of institution",17,R.2.GPV.G1.F,X18,0
Teachers ISCED 1,Table 1.1,"Number of teachers by ADM1, type of institution and professional status. ISCED 1",2,ADM_NAME,I19,0
Teachers ISCED 1,Table 1.1,"Number of teachers by ADM1, type of institution and professional status. ISCED 1",3,T.1.Pu,J19,0
Teachers ISCED 1,Table 1.1,"Number of teachers by ADM1, type of institution and professional status. ISCED 1",4,T.1.Pu.F,K19,0
Teachers ISCED 1,Table 1.1,"Number of teachers by ADM1, type of institution and professional status. ISCED 1",5,T.1.Pu.trained,L19,0
Teachers ISCED 1,Table 1.1,"Number of teachers by ADM1, type of institution and professional status. ISCED 1",6,T.1.Pu.trained.F,M19,0
Teachers ISCED 1,Table 1.1,"Number of teachers by ADM1, type of institution and professional status. ISCED 1",7,T.1.Pr,N19,0
Teachers ISCED 1,Table 1.1,"Number of teachers by ADM1, type of institution and professional status. ISCED 1",8,T.1.Pr.F,O19,0
Teachers ISCED 1,Table 1.1,"Number of teachers by ADM1, type of institution and professional status. ISCED 1",9,T.1.Pr.trained,P19,0
Teachers ISCED 1,Table 1.1,"Number of teachers by ADM1, type of institution and professional status. ISCED 1",10,T.1.Pr.trained.F,Q19,0
Teachers ISCED 1,Table 1.1,"Number of teachers by ADM1, type of institution and professional status. ISCED 1",11,T.1,R19,0
